title,artist,cleaned_lyrics
너만은 믿었건만,안재동,너만은 그렇게 믿었건만 너만은 그렇게 믿었건만 어느 순간부터인가 내곁을 떠나고 말았구나 이제야 비로소 깨닫는구나 내가 곤경에 처하고 내가 외로워질 때 지금껏 철석같이 믿었던 너 믿고 또 믿고 영원한 동지일 줄 알았던 너 어디로 갔나 지금 어디에 있나 사람은 극한 상황에 처했을 때라야 진정한 적과 동지를 제대로 판별할 수 있다고 하던가 내 힘이 약해질 때 내 힘이 약해졌을 때 내 사방엔 온통 적들만 우글거리는데 홀연히 떠나버린 너 부르지 않겠다 찾지 않겠다 부디 잘 먹고 잘 살거라 너만은 그렇게 믿었건만 너만은 그렇게 믿었건만 어느 순간부터인가 내곁을 떠나고 말았구나 이제야 비로소 깨닫는구나 내가 곤경에 처하고 내가 외로워질 때 지금껏 철석같이 믿었던 너 믿고 또 믿고 영원한 동지일 줄 알았던 너 어디로 갔나 지금 어디에 있나 사람은 극한 상황에 처했을 때라야 진정한 적과 동지를 제대로 판별할 수 있다고 하던가 내 힘이 약해질 때 내 힘이 약해졌을 때 내 사방엔 온통 적들만 우글거리는데 홀연히 떠나버린 너 부르지 않겠다 찾지 않겠다 부디 잘 먹고 잘 살거라 내 사방엔 온통 적들만 우글거리는데 홀연히 떠나버린 너 부르지 않겠다 찾지 않겠다 찾지 않겠다 찾지 않겠다 부디 잘 먹고 잘 살거라
사퐁당 (부제：사랑에퐁당빠져버렸네),선연,너를 만난 건 운명이었어 첫눈에 반해버린 사랑 별빛이 내린 밤 너와의 약속 영원히 함께해 줘 그대 다정한 그 미소 내 손을 잡아줘 이런 내 사랑을 받아줘 너와 나의 연 정말 믿을 수 없어 이 순간이 영원하길 뜨거운 심장이 뛰는 느낌 너는 내 맘 알고 있니 그 사랑에 퐁당 빠져 버렸네 내가 더 사랑 사랑 사랑을 해줄게 넌 나만 믿고 믿고 믿고 따라와봐 넌 나만 바라 바라 바라 바라봐 줘 내 모든 순간 너에게 다 줄게 뜨거운 심장이 뛰는 느낌 너는 내 맘 알고 있니 그 사랑에 퐁당 빠져 버렸네 내가 더 사랑 사랑 사랑을 해줄게 넌 나만 믿고 믿고 믿고 따라와봐 넌 나만 바라 바라 바라 바라봐 줘 내 모든 순간 너에게 다 줄게 내가 더 사랑 사랑 사랑을 해줄게 넌 나만 믿고 믿고 믿고 따라와봐 넌 나만 바라 바라 바라 바라봐 줘 이 순간부터 영원히 너뿐이야
허둥대지마,허둥,허둥대지마 서두르지 맙시다 급할수록 천천히 돌아가 맛있는 밥도 뜸 들이듯이 모든 일도 때를 기다려 세상만사 내 맘 내 뜻대로 우후후 되는 것도 많지는 않겠지만 야야야야 하는 일이 다 잘 되지는 않아 찍는 것이 다 적중은 안 해 신중하게 조심조심 절대 절대 허둥지둥 대지마 허둥대지마 서두르지 맙시다 바쁠수록 차분히 바라봐 돌다리도 건너기 전에 두드리고 건너가야 해 세상만사 내 맘 내 뜻대로 우후후 되는 것도 많지는 않겠지만 야야야야 하는 일이 다 잘 되지는 않아 찍는 것이 다 적중은 안 해 신중하게 조심조심 절대절대 허둥지둥 대지마
사랑 바보,조현철,바보 바보 바보 나는 사랑 바보야 오로지 너만 사랑하는 사랑 바보 또 너를 기다려 내가 왜 이럴까 늦은 밤 창밖을 보면 네 생각만 나 사랑 바보라서 끝난 줄도 모르고 또다시 너를 찾고있어 난 아직도 사랑 바보 내게서 멀어지는데 사랑 바보 너 없인 살 수없어 사랑 앞에선 언제나 나는 그저 멍청한 바보일뿐 바보 바보 바보 나는 사랑 바보야 오로지 너만 사랑하는 사랑 바보 또 너를 기다려 내가 왜 이럴까 늦은 밤 창밖을 보면 네 생각만 나 사랑 바보라서 끝난 줄도 모르고 또다시 너를 찾고있어 난 아직도 사랑 바보 내게서 멀어지는데 사랑 바보 너 없인 살 수없어 사랑 앞에선 언제나 나는 그저 멍청한 바보일뿐 바보 바보 바보 나는 사랑 바보야 오로지 너만 사랑하는 사랑 바보 바보 바보 바보 나는 사랑 바보야 오로지 너만 사랑하는 사랑 바보
넘버원 (Feat. 윤민수 of 바이브),강예슬,나의 넘버원 별이 빛나는 고운 밤이면 사랑스러운 그대 생각에 아름다운 노래 부르리 꽃보다 향기로운 나의 님이여 오디션이라도 봐야 할까요 저 하늘에 별을 따다 줄까요 이름만으로도 설레고 나를 웃게 하는 사람 그대는 나의 넘버 넘버원 그대가 너무 좋아요 꽃이 피어나 듯 그대 사랑이 내 맘에 피어나네요 언제나 그댄 넘버 넘버원 그대만 보면 설레요 다 말해줘요 그대의 사랑을 내 맘에 채워주세요 그댄 나의 넘버원 나의 넘버원 나의 넘버원 달이 빛나는 고운 밤이면 사랑스러운 그대 생각에 아름다운 노래 부르리 꽃보다 향기로운 나의 님이여 오디션이라도 봐야 할까요 저 하늘에 별을 따다 줄까요 이름만으로도 설레고 나를 웃게 하는 사람 그대는 나의 넘버 넘버원 그대가 너무 좋아요 꽃이 피어나 듯 그대 사랑이 내 맘에 피어나네요 언제나 그댄 넘버 넘버원 그대만 보면 설레요 다 말해줘요 그대의 사랑을 내 맘에 채워주세요 나도 그대가 너무나 좋아요 내 맘 고백하기엔 발라드가 더 좋은데 그대가 부르는 이 노래를 듣다 보니 이제는 트로트가 좋아요 나는 그대의 넘버 넘버원 그대가 너무 좋아요 별이 반짝이 듯 그대 사랑이 내 맘을 비춰주네요 언제나 그댄 넘버 넘버원 그대만 보면 설레요 다 말해줘요 그대의 사랑을 내 맘에 채워주세요 그댄 나의 넘버원 나의 넘버원 넘버원
흥타령,박서진,얼씨구 좋다 이게 바로 대한민국 흥타령 좋아 좋아 좋아 좋아 흥타령이 좋아 좋아 나는 좋아 신나 신나 신나 신나 흥타령이 나는 나는 나는야 좋아 게 섰거라 모두 비켜라 물렀거라 세상 가짜들아 얼씨구 절씨구 놀아보세 흥겹게 흥겹게 즐겨보세 이게 바로 대한민국 흥타령 힘들고 지칠 때 흥타령을 불러주세요 좋아 좋아 좋아 좋아 흥타령이 좋아 좋아 나는 좋아 신나 신나 신나 신나 흥타령이 나는 나는 나는야 좋아 이게 바로 대한민국 흥타령 신나 신나 신나 신나 흥타령이 나는 나는 나는야 좋아 좋아 좋아 좋아 좋아 흥타령이 좋아 좋아 나는 좋아 신나 신나 신나 신나 흥타령이 나는 나는 나는야 좋아 흥타령이 나는야 좋아 흥타령이 나는야 좋아
나는유투브다,P.K,모든게 열려있는 유투브세상 모든게 들어있는 유투브세상 때로는 슬픈것도 알게해주고 때로는 기쁜것도 알게해주는 유투브 유투브 유투브세상 이세상 모든문화가 유투브 세상에있고 이세상 모든사람도 유투브 세상에있네 너는 뭘보니 나는 유투브다 너는 뭘보니 나도 유투브다 나는 유투브다
머니,크리스 킴,사람나고 돈났지 돈나고 사람났냐 끝이없는 욕심에 모든 걸 잃어버려 높은 담 쌓고 살면 마음이 편안할까 화려한 옷 입어도 마음 속은 허전해 빈 손으로 왔다가 빈 손으로 가는 것 돈으로도 채울 수 없는게 너무 많아 돈을 쫓아 살다가도 나이 먹고 병들면 세상만사 모든게 부질없다 하더라 돈 돈 돈 돈이 뭐길래 money money money money 뭐길래 사랑도 양심도 사고 팔고 하는가 돈 돈 돈 돈이 뭐길래 money money money money 뭐길래 우리의 인생을 울고 웃게 하나 행복이란 무얼까 소유에 있지 않아 돈보다 더 귀한게 세상엔 많고 많아 돈자랑 하고 살면 날마다 행복할까 명품을 휘감아도 마음 속은 공허해 빈 손으로 왔다가 빈 손으로 가는 것 돈으로도 채울 수 없는게 너무 많아 돈을 쫓아 살다가도 나이 먹고 병들면 세상만사 모든게 부질없다 하더라 돈 돈 돈 돈이 뭐길래 money money money money 뭐길래 사랑도 양심도 사고 팔고 하는가 돈 돈 돈 돈이 뭐길래 money money money money 뭐길래 우리의 인생을 울고 웃게 하나
우리네 인생,제갈영희,이리보고 저리봐도 그사람인것을 이제야 알았네 당신의 마음을 세월속에 묻었네 떠나갈 사람아 미련주지말아요 못올거면서 안올거면서 바보같은사람 그래도 나는 좋아요 한번뿐인 우리네 인생 인생살이 별거 없더라 이리보고 저리봐도 그사람인것을 이제야 알았네 당신의 마음을 세월속에 묻었네 떠나갈 사람아 미련주지말아요 못올거면서 안올거면서 바보같은사람 그래도 나는 좋아요 한번뿐인 우리네 인생 인생살이 별거 없더라 인생살이 별거 없더라
돌곶이 시장,김민,돌곶이역 6번출구 6분거리 돌곶이 시장 백년향한 오랜전통 의릉축제 매년 열리네 바람이 분다 바람이 불어 손님바람 불어온다 일등시장 우리동네 손님바람 불어온다 일등시장 한천마을 전통시장 돌곶이 시장 돌곶이 돌곶이 돌곶이 시장 석계역 5번출구 5분거리 돌곶이 시장 백년향한 오랜전통 의릉축제 매년 열리네 바람이 분다 바람이 불어 손님바람 불어온다 일등시장 우리동네 손님바람 불어온다 일등시장 한천마을 전통시장 돌곶이 시장 돌곶이 돌곶이 돌곶이 시장 바람이 분다 바람이 불어 손님바람 불어온다 일등시장 우리동네 손님바람 불어온다 일등시장 한천마을 전통시장 돌곶이 시장 돌곶이 돌곶이 돌곶이 시장 돌곶이 돌곶이 돌곶이 시장
