title,artist,cleaned_lyrics
한강아리랑,홍장가,아리랑 아리랑 아라리요 아리수 한강물 흘러간다 한강 아리 아리랑 한강 쓰리 쓰리랑 태백산 검룡소 솟구치는 맑은 물 흘러 흘러 한강이라 팔당 아리수 솟구치니 한강이 젖줄이라 아리랑 서울 좋을씨구 한강 아리 아리랑 아리 아리랑 쓰리 쓰리랑 한강 아리 아리랑 한강 아리 아리랑 한강 쓰리 쓰리랑 태백에서 김포까지 천삼백리 한강수 아라뱃길 놀이 가자 팔당 아리수 솟구치니 황금 물결 풍년이네 아리랑 한강 유람선 한강 아리 아리랑 한강 아리랑
정동진에서,이대열,밀물처럼 왔다가 썰물처럼 가버린 무정한 사랑인가 새해 첫날에 정동진에서 해돋이 하자고 약속한 사람 동해에 떠오르는 해를 보려고 선남선녀 새벽부터 모였는데 그 사람이 없어요 눈을 씻고 둘러봐도 그 사람이 보이질 않네요 해가 뜨면 손을 잡고 소원을 빌자더니 해가 지도록 소식이 없네요 애가 타는 내 마음을 갈매기는 아는지 모래성 위를 맴돌다 가네요 바람처럼 왔다가 구름처럼 가버린 야속한 사랑인가 새해 첫날에 정동진에서 해돋이 하자고 약속한 사람 동해에 떠오르는 해를 보려고 선남선녀 구름처럼 모였는데 그 사람이 없어요 눈을 씻고 둘러봐도 그 사람이 보이질 않네요 해가 뜨면 손을 잡고 소원을 빌자더니 해가 지도록 소식이 없네요 애가 타는 내 마음을 갈매기는 아는지 모래성 위를 맴돌다 가네요 모래성 위를 맴돌다 가네요
그리운 사람,강천형,가지 말라고 매달려도 뿌리치고 떠나간 사람 함께 할 땐 몰랐었네 소중한 줄을 이제 다시 볼 수 없는 사람이기에 그리운 사람 보고픈 사람 이제는 내 가슴엔 그리움만 남았네 가지 말라고 매달려도 뿌리치고 떠나간 사람 함께 할 땐 몰랐었네 소중한 줄을 이제 다시 볼 수 없는 사람이기에 그리운 사람 보고픈 사람 이제는 내 가슴엔 그리움만 남았네 그리움만 남았네
부모님 전상서(KOR),파파금파,이 나이 되어보니 아버님의 무뚝뚝한 얼굴이 너무나도 보고 싶습니다 이 나이 되어보니 어머님의 잔소리가 귓가에 너무나도 듣고 싶습니다 철없던 나이에 뭐 그리 잘났다고 뭐가 그리 대단하다고 부모님처럼은 절대 안살 거라고 그렇게 소리쳤는지 용서하세요 잘못했어요 한 번만이라도 꼭 안고 싶어요 꿈속에라도 보고 싶어요 한 번만이라도 목 놓아 울고 싶습니다
당신꽃,정달빛,꽃꽃이 활짝 피던 날 그대가 왔죠 꽃이 꽃이 활짝 피던 날 그대가 왔죠 눈만 뜨면 내 옆에서 아이가 되는 못말리는 천치 바보 당신입니다 별을 따다 드릴까요 저 달을 딸까요 내 모든 것을 다 주어도 나는 좋아요 꽃꽃이 활짝 피던 날 그대가 왔죠 꽃이 꽃이 활짝 피던 날 그대가 왔죠 눈만 뜨면 내 옆에서 아이가 되는 못말리는 천치 바보 당신입니다 별을 따다 드릴까요 저 달을 딸까요 내 모든 것을 다 주어도 나는 좋아요 별을 따다 드릴까요 저 달을 딸까요 내 모든 것을 다 주어도 나는 좋아요 내 모든 것을 다 주어도 나는 좋아요
그대가최고야,나정호,세월 가니 생겨버린 주름도 아름다운 그대 변함 없이 아름다운 그댄 아직 청춘이야 나이가 들어간다고 사랑이 변하겠느냐 그대가 최고야 그대가 내 전부야 자식들이 떠나가고 우리들만의 시간들을 세월 따라 살더라도 그대 곁에 머무리라 나이가 들어 간다고 사랑이 변하겠느냐 그대가 최고야 그대가 내 전부야 세월이 흘러간다고 사랑이 변하겠느냐 그대가 최고야 그대가 내 전부야 그대가 최고야 그대가 내 사랑이야
평생친구,한상필,길고 긴 세월 고마워라 여태 아무말 없이 내 곁에 있는듯 없는듯 그림자처럼 조용히 안아주고 모른척 하면서 검은머리 히끗히끗 숨찬 세월 참고 견디며 얼마나 힘들었오 당신에겐 난 늘 미안한 사람입니다 길고 긴 세월 고마워라 여태 아무말 없이 내 곁에 있는듯 없는듯 그림자처럼 조용히 안아주고 모른척하면서 곱고희던 얼굴 모습 억센 세월 참고 견디며 굵은 주름살되었네 당신에겐 난 늘 미안한 사람입니다 당신에겐 난 늘 미안한 사람입니다
살림남,유시진,밥해 밥해 밥해 밥해놨어요 여보 여보 여보 빨리 오세요 청소하고 빨래 끝 애들하고 전쟁 끝 여보 자기 빨리 와요 찌개 끓여놨어요 삘리리리리리리 알람 소리에 새벽부터 밥을 짖고서 앞치마를 목에 걸고서 일 나가는 당신 배웅해 지금부터 전투자 설거지에 청소에 빨래에 칼각잡고 옷 정리하고 마트에서 장보고 우리 여보 기다린다 여보 여보 여보 빨리 오세요 청소하고 빨래 끝 애들하고 전쟁 끝 여보 자기 빨리 와요 찌개 끓여 놨어요 띠띠띠띠띠띠띠 번호 키 소리에 우리 여보 맞이하고서 앞치마를 풀고 벗고서 하트뿅뿅 애교부리며 피로 풀어줍니다 신발 정리 빨래는 빨래통 보글보글 찌개 끓이고 우리 여보 최고다 나는 살림남이다 밥해 밥해 밥해 밥해놨어요 여보 여보 여보 빨리 오세요 청소하고 빨래 끝 애들하고 전쟁 끝 여보 자기 빨리 와요 찌개 끓여놨어요 밥해 밥해 밥해 밥해놨어요 여보 여보 여보 빨리 오세요 청소하고 빨래 끝 애들하고 전쟁 끝 여보 자기 빨리 와요 찌개 끓여놨어요 나는 이 세상의 최고의 살림남
아픈 사랑의 그리움,공 주 혜,사랑아 사랑아 왜 나를 가라 하느냐 그리워 그리워 눈물로 하루가 간다 너를 기다리며 또 눈물짓네 널 어떻게 잊으라 할까요 못잊어 못잊어 너를 불러보지만 대답없는 바람만 내 곁을 스치네 아픔아 아픔아 왜 나를 가라 하느냐 보고파 보고파 눈물로 하루가 간다 너를 기다리며 또 눈물짓네 널 어떻게 잊으라 할까요 못잊어 못잊어 너를 불러보지만 대답없는 바람만 내 곁을 스치네
당신이 복권,화자,아따 사방천지 둘러 보아도 풀리는 게 하나 없네 아까운 내청춘아 어디로 가고 잔주름만 늘어 간다 가지를 마라 내 청춘아 다시 한번 달려 보자 다시 한 번 가자 다시 한번 가자 복권 한 장을 사 들고 복권 한 장을 사 들고 가슴만 타는구나 가슴만 태워 행여나 행여나 하고 아따 내 팔자엔 당신이 복권 아무리 맴돌아 돌아 돌아 가도 당신이 복권 아따 두 팔벌려 휘둘러 봐도 걸리는 게 하나 없네 그 많던 친구들아 어디로 가고 저 살기에 바쁘구나 가지를 마라 내 청춘아 다시 한 번 달려 보자 다시 한 번 가자 다시 한 번 가자 복권 한 장을 사 들고 복권 한 장을 사 들고 가슴만 타는구나 가슴만 태워 한 번만 한 번만 하고 아따 내 팔자엔 당신이 복권 아무리 맴돌아 돌아 돌아 가도 당신이 복권 가지를 마라 내 청춘아 다시 한번 달려 보자 다시 한 번 가자 다시 한번 가자 복권 한 장을 사 들고 복권 한 장을 사 들고 가슴만 타는구나 가슴만 태워 한 번만 한 번만 하고 아따 내 팔자엔 당신이 복권 아무리 맴돌아 돌아 돌아 가도 당신이 복권 아무리 맴돌아 돌아 돌아 가도 당신이 복권
남자라면,송우주,남자로 남자로 태어났다면 이 세상에 남자로 태어났다면 목숨을 걸고 이겨야 내일이 있다 아픔을 이기고 넘어야 기회가 내게로 올 거야 잘 될 거야 희망을 마시자 갈팡질팡 왔다갔다 하지마 출세를 흥정하려 하지마 거치른 땅도 힘차게 나가자 사랑도 사랑도 야망도 야망도 내 인생 끝까지 행복도 행복도 청춘도 청춘도 모두가 나를 위해 있는 것 남자라면은 남자라면은 멋지게 살자 멋지게 살자 내일을 향해 달려라 이 세상에 남자로 태어났다면 목숨을 걸고 이겨야 내일이 있다 아픔을 이기고 넘어야 기회가 내게로 올 거야 잘 될 거야 희망을 마시자 갈팡질팡 왔다갔다 하지마 출세를 흥정하려 하지마 거치른 땅도 힘차게 나가자 사랑도 사랑도 야망도 야망도 내 인생 끝까지 행복도 행복도 청춘도 청춘도 모두가 나를 위해 있는 것 남자라면은 남자라면은 멋지게 살자 멋지게 살자 내일을 향해 달려라 남자라면은 남자라면은 멋지게 살자 멋지게 살자 내일을 향해 달려라
위대한 약속 (Cover Ver.),김광순,좋은 집에서 말다툼 보다 작은 집의 행복 느끼며 좋은 옷 입고 불편한 것보다 소박함에 살고 싶습니다 비가 오거나 눈이 오거나 때론 그대가 아플 때도 약속한 대로 그대 곁에 남아서 끝까지 같이 살고 싶습니다 위급한 순간에 내 편이 있다는 건 내겐 마음의 위안이고 평범한 것이 얼마나 소중한 지 벼랑 끝에서 보면 알아요 하나도 모르면서 둘을 알려고 하다 사랑도 믿음도 떠나가죠 세상 살면서 힘이야 들겠지만 사랑하며 살고 싶습니다 위급한 순간에 내 편이 있다는 건 내겐 마음의 위안이고 평범한 것이 얼마나 소중한 지 벼랑 끝에서 보면 알아요 하나도 모르면서 둘을 알려고 하다 사랑도 믿음도 떠나가죠 세상 살면서 힘이야 들겠지만 사랑하며 살고 싶습니다
사랑도 먼저 이별도 먼저,송기상,관심도 없던 나에게 불타는 사랑을 먼저 해놓고 그냥 가버리면 난 어찌하라고 이젠 내가 더 사랑에 빠져버렸네 연극같은 그대 사랑에 내가 내가 취해버렸는데 사랑도 먼저 이별도 먼저 야멸찬 그사람 이제와서 왜 나를 울리나 눈물이 보일까봐 돌아서서 흐느끼는 남자는 바보 사랑도 바보 관심도 없던 나에게 불타는 사랑을 먼저 해놓고 그냥 가버리면 난 어찌하라고 이젠 내가 더 사랑에 빠져버렸네 연극같은 그대 사랑에 내가 내가 취해버렸는데 사랑도 먼저 이별도 먼저 야속한 그사람 이제와서 왜 나를 울리나 망가진 가슴안고 돌아서서 슬피우는 여자는 바보 사랑도 바보
놀아보세,희호,이런들 어떠하리 저런들 어떠하리 인생사 천년만년 살 것도 아닌데 한번뿐인 우리 인생 후회 없이 즐겁게 살아보자 에헤야 어야디야 얼씨구 좋구나 에헤야 어야디야 지화자 좋구나 노세 노세 놀아보세 다 같이 놀아보세 니나노 춤추며 놀아보세 노세 노세 놀아보세 한바탕 놀아보세 신명나게 놀아보세 이런들 어떠하리 저런들 어떠하리 인생사 천년만년 살 것도 아닌데 한번뿐인 우리 인생 후회 없이 즐겁게 살아보자 에헤야 어야디야 얼씨구 좋구나 에헤야 어야디야 지화자 좋구나 노세 노세 놀아보세 다 같이 놀아보세 니나노 춤추며 놀아보세 노세 노세 놀아보세 한바탕 놀아보세 신명나게 놀아보세 신명나게 놀아보세
당신이 최고야,나세영,거센파도 밀려오는 힘든세상어 당당하게 살아가는 당신이 최고야 살다보면 눈물을 흘릴때도 있겠지만 내결에서 위로해주던 당신 바로바로 바로바로 당신이 최고야 이리보고 저리봐도 당신이 최고야 오뚜기처럼 쓰러지지 않는 당신 당신이 최고야 당신이 최고야 거센파도 밀려오는 힘든세상에 당당하게 살아가는 당신이 최고야 살다보면 눈물을 흘릴때도 있겠지만 내결에서 위로해주던 당신 바로바로 바로바로 당신이 최고야 이리보고 저리봐도 당신이 최고야 오뚜기처럼 쓰러지지 않는 당신 당신이 최고야 당신이 최고야
푹 빠졌나봐,현숙,푹 빠졌나봐 푹 빠졌나봐 당신한테 푹 빠졌나봐 보면 볼수록 매력 있는 당신한테 푹 빠졌나봐 안 보면 보고 싶고 봐도 할 말 없는데 그래도 보고 싶다 이게 바로 사랑인가봐 첫 눈에 반한 당신 가슴이 뛴다 사랑이 별거라더냐 나도 한번 사랑해보자 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐 당신한테 푹 빠졌나봐 보면 볼수록 매력 있는 당신한테 푹 빠졌나봐 안 보면 보고 싶고 봐도 할 말 없는데 그래도 보고 싶다 이게 바로 사랑인가봐 첫 눈에 반한 당신 가슴이 뛴다 사랑이 별거라더냐 나도 한번 사랑해보자 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐 첫 눈에 반한 당신 가슴이 뛴다 사랑이 별거라더냐 나도 한번 사랑해보자 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐 푹 빠졌나봐
외사랑,문도,어쩌면 좋아요 난 그댈 사랑해 시간이 흐를수록 깊어만가는데 그대는 모르죠 나 그대 사랑하는데 내 마음 깊은곳에 그대가있다는걸 왜 나에겐 아픈사랑만올까 왜 나에겐 상처만 남기는지 두번 다시는 이제 다시는 외사랑은 않으리라 아아아 제발 한번만 꿈 속 에서라도 우리 사랑하게 해줘요 내 맘은 언제나 그대만 기다리는데 이젠 더 이상은 숨길 수 없다는 걸 왜 나에겐 아픈사랑만올까 왜 나에겐 상처만 남기는지 두번 다시는 이제 다시는 외사랑은 않으리라 아아아 제발 한번만 꿈 속 에서라도 우리 사랑하게 해줘요 두번 다시는 이제 다시는 외사랑은 않으리라 아아아 제발 한번만 꿈 속 에서라도 우리 사랑하게 해줘요
피멍,정초신,당신 없이는 단 하루도 살지 않게 해준다더니 그 약속은 다 잊어버린 채 당신은 어디로 갔소 가로등 꺼진 쓸쓸한 골목길 저 어둠은 벌써 다 지워지고 한 줄기 빛으로 창가를 물들인 새벽은 저만치 오는데 이렇게 내 맘속에 피멍을 남기고 당신은 어디로 갔소 당신 없이는 단 하루도 살 수 없다 말을해놓고 이 풍진세상 홀로 남긴채 당신은 어디로 갔소 당신이 남긴 수 많은 흔적들 저 하늘에 맺힌 당신의 미소 가로등 불빛이 창가에 물들어 어둠은 어느새 왔는대 이렇게 내 몸안에 피멍을 남기고 당신은 어디로 갔소 이렇게 검붉은 피멍을 남기고 당신은 어디로 갔소 당신은 어디로 갔소
둥지,천록담,너 빈자리 채워 주고 싶어 내 인생을 전부 주고 싶어 이제는 너를 내 곁에다 앉히고 언제까지나 사랑할까 봐 우리 더 이상 방황하지 마 한눈팔지 마 여기 둥지를 틀어 지난날의 아픔은 잊어버려 스쳐 지나가는 바람처럼 이제 너는 혼자가 아니잖아 사랑하는 나 있잖아 너는 그냥 가만히 있어 다 내가 해 줄게 현실일까 꿈일까 사실일까 아닐까 헷갈리고 서 있지 마 사랑이 뭔지 그동안 몰랐지 내 품에 둥지를 틀어봐 너 빈자리 채워 주고 싶어 내 인생을 전부 주고 싶어 이제는 너를 내 곁에다 앉히고 언제까지나 사랑할까 봐 우리 더 이상 방황하지 마 한눈팔지 마 여기 둥지를 틀어 지난날의 아픔은 잊어버려 스쳐 지나가는 바람처럼 이제 너는 혼자가 아니잖아 사랑하는 나 있잖아 너는 그냥 가만히 있어 다 내가 해 줄게 현실일까 꿈일까 사실일까 아닐까 헷갈리고 서 있지 마 우 사랑이 뭔지 그동안 몰랐지 내 품에 둥지를 틀어봐 내 품에 둥지를 틀어봐
어느 날 고백,강보민,매일 마음이 설레요 그댈 마주할 때마다 아직까지 한 번도 이런 날이 없는데 저 밝은 달이면 내 맘 환히 알까요 처음이죠 이런 떨림 그대를 사랑한 오오 그대 내 맘 받아준다면 세상 다 내 것입니다 사랑 고백이라오 그대는 나의 여자여 저 밝은 달이면 내 맘 환히 알까요 처음이죠 이런 떨림 그대를 사랑한 그대 내 맘 받아준다면 세상 다 내 것입니다 사랑 고백이라오 나는 그대의 남자여 그대는 나의 여자여
연인,김용빈,다시 만날 수 있을까 이 밤 지나면 나의 가슴에 이별을 두고 떠나버린 사람아 이젠 부르지 않으리 애써 다짐해 놓고 밤이 새도록 그대 생각에 눈을 젖는다 미운 사람아 정든 사람아 어디서 무얼 하는지 보고 싶어서 몸부림쳐도 만날 수 없는 사람아 내가 세상에 태어나 너를 만나 사랑한 것이 지금 나에겐 전부야 다시 돌아와 미운 사람아 정든 사람아 어디서 무얼 하는지 보고 싶어서 몸부림쳐도 만날 수 없는 사람아 미운 사람아 정든 사람아 어디서 무얼 하는지 보고 싶어서 몸부림쳐도 만날 수 없는 사람아 내가 세상에 태어나 너를 만나 사랑한 것이 지금 나에겐 전부야 다시 돌아와 다시 나에게 돌아와 그 언제라도
"당신이기 때문에 사랑합니다 (Vocal. AI 명진, 수현)",이천우,내가 내가 당신을 사랑합니다 당신이기 때문에 사랑합니다 당신에 눈길에 가슴이 저리고 바람만 세게불어도 안타까운 마음 가득한 사랑에 무슨 이유가 필요한가요 사랑에는 이유도 없고 목적도 없답니다 하늘에도 바람에도 당신이 있어 당신이기 때문에 사랑합니다 내가 내가 당신을 사랑합니다 당신에 눈길에 가슴이 저리고 바람만 세게불어도 안타까운 마음 가득한 사랑에 무슨 이유가 필요한가요 사랑에는 이유도 없고 목적도 없답니다 하늘에도 바람에도 당신이 있어 당신이기 때문에 사랑합니다
내 작은 종이배,이래저래,흐르는 물 위에 내 작은 종이배로 나의 사랑 실어서 띄우리 흐르는 물 위에 내 작은 종이배로 나의 꿈을 실어서 띄우리 내 배여 흘러라 나만이 알고 있는 별들이 있는 곳까지 한없이 흘러라 꿈 찾아 사랑 찾아 내 배여 흘러 흘러라 꿈 있어 꿈 있어 사랑 있어 사랑 있어 행복 있어 내 배여 흘러 흘러라 꿈 찾아 꿈 찾아 사랑 알고 사랑 알고 행복 찾아 사랑 알고 내 배여 흘러 흘러라 내 배여 흘러라 나만이 알고 있는 별들이 있는 곳까지 한없이 흘러라 꿈 찾아 사랑 찾아 내 배여 흘러 흘러라 꿈 있어 꿈 있어 사랑 있어 사랑 있어 행복 있어 내 배여 흘러 흘러라 꿈 찾아 꿈 찾아 사랑 알고 사랑 알고 행복 찾아 사랑 알고 내 배여 흘러 흘러라 내 배여 흘러 흘러라 내 배여 흘러 흘러라
그리운 사람아,참사랑,꽃피는 봄날에 꽃향기 마시며 당신과 걸어가고 싶어요 추억의 거리에서 사랑했지만 세월이 흘러도 잊지를 못하네 젊음세월 당신맘 채울까 당신마음 그릴까 꽃길로 걸어와줘요 당신마음 믿어요 당신마음 사랑해 우리사랑 함께 영원한 사랑이 우리들의 운명이라면 먼훗날 영원히 사랑해줘요 우리처음 만난 그리운 사람아 꽃피는 봄날에 꽃향기 마시며 당신과 걸어가고 싶어요 추억의 거리에서 사랑했지만 세월이 흘러도 잊지를 못하네 젊음세월 당신맘 채울까 당신마음 그릴까 꽃길로 걸어와줘요 당신마음 믿어요 당신마음 사랑해 우리사랑 함께 영원한 사랑이 우리들의 운명이라면 먼훗날 영원히 사랑해줘요 우리처음 만난 그리운 사람아 우리처음 만난 그리운 사람아
그리운 내사랑,아름,그리운 내사랑 영원한 내사랑 당신은 무얼하고 계실까 첫사랑 우리만남 인연이기에 세월이 흘러도 잊지를 못하네 이제라도 만날수 있을까 사랑했던 그사람 내게로 돌아와줘요 잊을수가 없어요 지울수가 없어요 눈물끝에 오는 또다른 사랑이 우리들의 사랑이라면 이제는 영원히 지킬겁니다 처음처럼 만난 그리운 내 당신 그리운 내사랑 영원한 내사랑 당신은 무얼하고 계실까 첫사랑 우리만남 인연이기에 세월이 흘러도 잊지를 못하네 이제라도 만날 수 있을까 사랑했던 그사람 내게로 돌아와줘요 잊을수가 없어요 지울수가 없어요 눈물끝에 오는 또다른 사랑이 우리들의 사랑이라면 이제는 영원히 지킬겁니다 처음처럼 만난 그리운 내 당신 처음처럼 만난 그리운 내 당신
내사랑,문선아,아 바람이 분다 가슴 한구석 불어오는 바람 내 님의 향기인가 내 님의 모습인가 잡으려 해도 잡히지 않네 떠나는 모습 지우려 해도 자꾸만 떠오르는데 우리 다시 만나는 그 날 꼭 안고 놓지 않으리 아 사랑 내사랑여 잊지 못할 내사랑이여 아 바람이 분다 가슴 한구석 불어오는 바람 내 님의 향기인가 내 님의 모습인가 잡으려 해도 잡히지 않네 떠나는 모습 지우려 해도 자꾸만 떠오르는데 우리 다시 만나는 그 날 꼭 안고 놓지 않으리 아 사랑 내사랑여 잊지 못할 내사랑이여
시간이 약이랍니다,김동관,당신이 안고 온 사랑비가 내 몸을 흠뻑 적셨는데 지나가는 소낙비래요 나 혼자 사랑했나 봐 백번 잘해도 한번 실수로 잡을 수없는 당신사랑 나 혼자 아파하네요 당신이 지나간 빈 가슴에 사랑의 기침소리가 독감보다 더 지독하네요 시간이 약이랍니다 당신이 안고 온 사랑비가 내 몸을 흠뻑 적셨는데 지나가는 소낙비래요 나 혼자 사랑했나 봐 백번 잘해도 한 번 실수로 잡을 수없는 당신사랑 나 혼자 아파하네요 당신이 지나간 빈 가슴에 사랑의 기침소리가 독감보다 더 지독하네요 시간이 약이랍니다 당신이 지나간 빈 가슴에 사랑의 기침소리가 독감보다 더 지독하네요 시간이 약이랍니다
인생은 복불복,김성봉,인생은 복불복 어느 구름에 비들었는지 아무도 몰라 그 누구도 몰라 사주팔자 따로있나 노력하면 성공하지 앞날은 아무도 몰라 금맥이 나올 때까지 그래 파보는 거야 중간에 포기하지마 인생은 복불복 금수저가 따로 있나 꿈이루면 금수저 사주팔자 따로 있나 노력하면 성공하지 앞날은 아무도 몰라 금맥이 나올 때까지 그래 파보는 거야 중간에 포기하지마 인생은 복불복 금수저가 따로 있나 꿈이루면 금수저 꿈이루면 금수저
사랑이 (Cover Ver.),신강호,사랑이 별거더냐 사랑이 어렵더냐 안아주고 보듬어주고 아껴주는게 그것이 사랑인거지 사랑하면 기쁨이넘치네 사랑하면 행복이쌓이네 세상에 어떤 금은보화도 사랑보단 못하더라 사랑하자 사랑하자 더 많이 사랑하면서 함께 더불어 살아요 사랑이 별거더냐 사랑이 어렵더냐 감싸주고 이해해주고 배려해 주는게 그것이 사랑인거지 사랑하면 웃음이 넘치네 사랑하면 정이 쌓이네 세상에 어떤 보약보다도 사랑이 최고더라 사랑하자 사랑하자 더 많이 사랑하면서 함께 더불어 살아요 함께 더불어 살아요
우리 사랑 황혼은 없다,김차규,내 나이 몇이냐고 묻지를 마라 환갑 진갑 다 지난지도 벌써 오랜 이야기 무엇이 안타까워 서러워하느냐 잘난 사람 따로 있고 못난 사람 따로 있나요 인생사 모든 것이 새옹지마데 멋지게 살다 보면 살다 보면 우리 사랑 황혼은 없다 우리 사랑 황혼은 없다
집으로 가는 길,남일해,뚜벅뚜벅 걷고 있네 정든 이 길 골목길을 가슴에는 사랑을 안고 발길을 재촉하네 무거웠던 발걸음이 이렇게 가벼운 건 집으로 가는 길 집으로 가는 길 당신이 있기 때문에 나 항상 걸어온 이 길에서 서 당신을 생각하면 뜨겁게 흐르는 이 눈물은 한 남자의 사랑이야 뚜벅뚜벅 걷고 있네 압구정동 골목길을 사랑하는 당신 있기에 발길을 재촉하네 무거웠던 내 마음이 이렇게 가벼운 건 집으로 가는 길 집으로 가는 길 당신이 있기 때문에 나 항상 걸어온 이 길에서 서 당신을 생각하면 뜨겁게 흐르는 이 눈물은 한 남자의 사랑이야 뜨겁게 흐르는 이 눈물은 한 남자의 사랑이야
사랑합니다,초심,사랑합니다 사랑합니다 당신을 사랑합니다 슬픔과 외로움에 힘에 겨울 때 언제나 내 곁에서 손잡아 주는 한 다발꽃처럼 나의 가슴에 향기로 가득한 사람 내 가슴에 피어난 사랑 두 배로 세배로 돌려 드릴게요 어제 어제 보다 오늘 더 당신 당신보다 내가 더 사랑합니다 사랑합니다 당신을 사랑합니다
늦은 인연,정성제,인연 인 건지 우연 인 건지 봄 바람처럼 살며시 나의 삶 에 들어온 너 한 여름 호숫가에서 너와 나 노래 불렀지 작사하고 작곡하고 언제나 함께 하자고 그때 니가 거기 없었더라면 그때 내가 거기 없었더라면 시작도 끝도 없었을것을 그땐 너무 어려서 사랑을 잘 몰라서 아낄 줄 도 모르고 그땐 너무 어려서 헤어질 줄 모르고 바람처럼 스쳐가는 우리들의 사랑에 그때 니가 거기 없었더라면 그때 내가 거기 없었더라면 시작도 끝도 없었을것을 그립다 너가 그립다 그립다 지난 추억들이 아프다 마음이 다 못이룬 사랑에 아프다 마음이 남이 되어버린 지금
친구들아,이글수,친구야 내 친구야 내 멋진 친구들아 언제봐도 너무 좋은 내 소중한 친구들아 우리만나 얼굴보며 이런저런 얘기하니 세상모든 걱정들이 모두다 사라지네 이 얼마나 좋은가 친구가 있다는게 이 얼마나 행복한가 우리 함께 있다는게 힘내자 친구들아 힘을 내자 친구들아 우리모두 함께라면 뭐든지 할 수 있어 웃어보자 친구들아 가슴을 활짝펴고 우리함께 크게 한번 웃어보자 친구들아
모래꽃,박천재,운명이란 이름의 바람을 타고 내게 내 가슴 한복판 다가와서 너무나도 고운 추억을 하나둘 새겨준 그 사람 잠시 내게 인연으로 머물렀지만 이제는 모래꽃처럼 아 만질 수도 없네 눈으로 그냥 난 바라볼 뿐 이별의 바람아 바람아 제발 멈춰줘 너 그러면 부서져 이별의 눈물아 눈물아 그만 그쳐주면 안 되니 내 사랑 거기 있게 잠시 내게 인연으로 머물렀지만 이제는 모래꽃처럼 아 만질 수도 없네 눈으로 그냥 난 바라볼 뿐 이별의 바람아 바람아 제발 멈춰줘 너 그러면 부서져 이별의 눈물아 눈물아 그만 그쳐주면 안 되니 내 사랑 거기 있게 아직은 나는 너를 보낼 수가 없는데 너 없이 나는 살 수가 없는데 이별의 바람아 바람아 제발 멈춰줘 너 그러면 부서져 이별의 눈물아 눈물아 그만 그쳐주면 안 되니 내 사랑 거기 있게
뜨거운 술잔,김성봉,지금도 어제 같아요 그날 밤 그대와 나 한숨과 한숨 사이에 비워지던 술잔 이 잔은 사랑의 잔 이 잔은 이별의 잔 비우고 채우던 눈물의 술잔 추억이 넘치도록 눈물이 넘치도록 채우고 비우던 뜨거운 술잔 그날 밤이 지나고 우리 사랑은 없던 일이 되었지만 그 술잔 그 눈물 아직도 그리워라 이 잔은 사랑의 잔 이 잔은 이별의 잔 비우고 채우던 눈물의 술잔 추억이 넘치도록 눈물이 넘치도록 채우고 비우던 뜨거운 술잔 그날 밤이 지나고 우리 사랑은 없던 일이 되었지만 그 술잔 그 눈물 아직도 그리워라 아직도 그리워라 아직도 그리워라
커피한잔 (Cover Ver.),리븐,커피 한잔을 시켜놓고 그대 올때를 기다려봐도 왠일인지 오지를않네 내속을 태우는구려 팔분이 지나고 구분이와요 일분만 지나면 나는가요 내정말 그대를 사랑해 내속을 태우는구려 아 그대여 왜 안오시나 아 내사랑아 오 기다려요 아 기다려요 오 기다려요 불덩이 같은 이가슴 엽차 한잔을 시켜봐도 보고싶은 그대얼굴 내속을 태우는구려 커피 한잔을 시켜놓고 그대 올때를 기다려봐도 왠일인지 오지를않네 내속을 태우는구려 팔분이 지나고 구분이와요 일분만 지나면 나는가요 내정말 그대를 사랑해 내속을 태우는구려 아 그대여 왜 안오시나 아 내사랑아 오 기다려요 아 기다려요 오 기다려요 불덩이 같은 이가슴 엽차 한잔을 시켜봐도 보고싶은 그대얼굴 내속을 태우는구려
회상,김정호,알고 온 건 아니었네 멀고도 험한 이 길 물설고 땅 설은 곳으로 누가 불러 왔을까 눈 감으면 떠오르네 동구 밖 푸른 바다 장독 위에 하얀 눈 내리네 아 세월이 흘렀구나 모진 비바람이 불어왔어도 내 인생 후회 없어라 외롭고 힘든 길에 함께 한 그대여 꿈을 꾸며 달려왔구나 벌거숭이 인생에 나의 사랑 여기 있으니 내일을 기다리는 아이처럼 웃으며 걸어가리라 눈 감으면 떠오르네 봄내음 산나물들 온 산에 붉게 물든 단풍이 아 가슴을 적시는구나 모진 비바람이 불어왔어도 내 인생 후회 없어라 외롭고 힘든 길에 함께 한 그대여 꿈을 꾸며 달려왔구나 벌거숭이 인생에 나의 사랑 여기 있으니 내일을 기다리는 아이처럼 웃으며 걸어가리라
